Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,nematodes.FileImage,nematodes.joinCol,AllFiles_001.FileImage,AllFiles_001.joinCol
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0007.jpg,./Output/003-seq0007.jpg,003-seq0007.jpg,./003-seq0007.jpg,003-seq0007.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0009.jpg,./Output/006-seq0009.jpg,006-seq0009.jpg,./006-seq0009.jpg,006-seq0009.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0011.jpg,./Output/008-seq0011.jpg,008-seq0011.jpg,./008-seq0011.jpg,008-seq0011.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0013.jpg,./Output/010-seq0013.jpg,010-seq0013.jpg,./010-seq0013.jpg,010-seq0013.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0014.jpg,./Output/012-seq0014.jpg,012-seq0014.jpg,./012-seq0014.jpg,012-seq0014.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem055.avi,./Output/013-100xfem055.avi,013-100xfem055.m4v,./013-100Xfem055.m4v,013-100Xfem055.m4v
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0015.jpg,./Output/014-seq0015.jpg,014-seq0015.jpg,./014-seq0015.jpg,014-seq0015.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem056.avi,./Output/015-100xfem056.avi,015-100xfem056.m4v,./015-100Xfem056.m4v,015-100Xfem056.m4v
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0016.jpg,./Output/016-seq0016.jpg,016-seq0016.jpg,./016-seq0016.jpg,016-seq0016.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0001.jpg,./Output/017-seq0001.jpg,017-seq0001.jpg,./017-seq0001.jpg,017-seq0001.jpg
