Basis-of-record,Catalogue-number,Collection-code,Institution-code,Collector,Collector-number,Date-collected,Field-notes,Field-number,Type-status,Taxonomic-name,Identification-qualifier,Identified-by,Date-identified,Count,GenBank-number-s-,Lifestage,Remarks,Sex,Location,Specimen,Image,FileImage
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem064_0.avi,./Output/001-100xfem064_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem065_0.avi,./Output/002-100xfem065_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0007.jpg,./Output/003-seq0007.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem066_0.avi,./Output/004-100xfem066_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem067_0.avi,./Output/005-100xfem067_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0009.jpg,./Output/006-seq0009.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem068_0.avi,./Output/007-100xfem068_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0011.jpg,./Output/008-seq0011.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem069_0.avi,./Output/009-100xfem069_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0013.jpg,./Output/010-seq0013.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem070_0.avi,./Output/011-100xfem070_0.avi
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/seq0014.jpg,./Output/012-seq0014.jpg
Living Specimen,6001,Hemicycliophora sp. n. 6001TN,IEBR,None,None,None,None,None,paratype,"<a href=/taxonomy/term/10623"" typeof=""skos:Concept"" property=""rdfs:label skos:prefLabel"" datatype="""">Tylenchoidea</a>""",None,"<a href=/user/3161"">tien</a>""",None,None,None,None,None,None,None,"<a href=/node/789"">View specimen</a>""",https://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/100xfem055.avi,./Output/013-100xfem055.avi
